UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,record_id,equipment_id,equipment_type,equipment_model,hospital_unit,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,severity,downtime_hours,maintenance_cost_usd,days_since_last_pm,technician_notes
2056,L01041,L,299.4,309.0,1592,20.8,17,0,0,0,0,0,0,REC02056,INF012,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-04-22 00:00:00,299.4,309.0,1592,20.8,17,0,No Failure,Low,0.0,0,135,Scheduled check completed. No anomalies detected.
2057,H00423,H,297.6,307.7,1336,46.3,198,0,0,0,0,0,0,REC02057,CT008,CT Scanner,Canon Aquilion Prime,Oncology,2023-12-26 00:00:00,297.6,307.7,1336,46.3,198,0,No Failure,Medium,0.0,0,116,Scheduled check completed. No anomalies detected.
2058,L01042,L,302.5,311.3,1311,38.4,130,0,0,0,0,0,0,REC02058,VEN012,Ventilator,Drager Evita V500,ICU,2023-12-16 00:00:00,302.5,311.3,1311,38.4,130,0,No Failure,Low,0.0,0,139,Calibration verified. Sensor readings within tolerance.
2059,L01043,L,299.0,308.4,1476,50.2,70,0,0,0,0,0,0,REC02059,INF012,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2023-08-21 00:00:00,299.0,308.4,1476,50.2,70,0,No Failure,Low,0.0,0,113,Routine inspection completed. All parameters normal.
2060,L01044,L,300.7,311.0,1450,32.0,9,0,0,0,0,0,0,REC02060,PAT012,Patient Monitor,Mindray N22,ICU,2024-05-11 00:00:00,300.7,311.0,1450,32.0,9,0,No Failure,Low,0.0,0,92,Preventive maintenance performed. Equipment functioning within specifications.
2061,H00424,H,301.7,313.2,1454,49.4,248,0,0,0,0,0,0,REC02061,CT008,CT Scanner,Siemens SOMATOM Drive,Radiology,2024-05-05 00:00:00,301.7,313.2,1454,49.4,248,0,No Failure,Medium,0.0,0,139,Preventive maintenance performed. Equipment functioning within specifications.
2062,L01045,L,300.9,312.1,1358,29.4,24,0,0,0,0,0,0,REC02062,INF012,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-11-15 00:00:00,300.9,312.1,1358,29.4,24,0,No Failure,Low,0.0,0,147,Routine inspection completed. All parameters normal.
2063,M00594,M,295.6,306.3,1566,44.0,92,0,0,0,0,0,0,REC02063,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2024-06-03 00:00:00,295.6,306.3,1566,44.0,92,0,No Failure,Low,0.0,0,68,Scheduled check completed. No anomalies detected.
2064,L01046,L,301.4,311.5,1311,42.8,172,0,0,0,0,0,0,REC02064,VEN012,Ventilator,Drager Evita V500,ICU,2023-04-11 00:00:00,301.4,311.5,1311,42.8,172,0,No Failure,Low,0.0,0,170,Calibration verified. Sensor readings within tolerance.
2065,L01047,L,299.8,309.7,1475,38.4,157,0,0,0,0,0,0,REC02065,INF013,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-10-31 00:00:00,299.8,309.7,1475,38.4,157,0,No Failure,Low,0.0,0,178,Scheduled check completed. No anomalies detected.
2066,H00425,H,299.3,307.9,1438,29.7,31,0,0,0,0,0,0,REC02066,MRI008,MRI,Philips Ingenia 3T,Oncology,2024-12-21 00:00:00,299.3,307.9,1438,29.7,31,0,No Failure,Medium,0.0,0,130,Preventive maintenance performed. Equipment functioning within specifications.
2067,M00595,M,299.8,308.9,1493,36.3,156,0,0,0,0,0,0,REC02067,ULT008,Ultrasound,GE LOGIQ E10,Emergency,2024-06-19 00:00:00,299.8,308.9,1493,36.3,156,0,No Failure,Low,0.0,0,168,Preventive maintenance performed. Equipment functioning within specifications.
2068,H00426,H,296.8,306.0,1737,49.2,85,0,0,0,0,0,0,REC02068,MRI008,MRI,GE SIGNA Premier,Neurology,2024-06-09 00:00:00,296.8,306.0,1737,49.2,85,0,No Failure,Medium,0.0,0,19,Scheduled check completed. No anomalies detected.
2069,L01048,L,300.4,311.0,1237,54.9,43,0,0,0,0,0,0,REC02069,PAT012,Patient Monitor,Mindray N22,Cardiology,2024-09-22 00:00:00,300.4,311.0,1237,54.9,43,0,No Failure,Low,0.0,0,97,Preventive maintenance performed. Equipment functioning within specifications.
2070,M00596,M,297.3,308.2,1168,59.5,156,0,0,0,0,0,0,REC02070,ULT008,Ultrasound,GE LOGIQ E10,General Ward,2024-03-20 00:00:00,297.3,308.2,1168,59.5,156,0,No Failure,Low,0.0,0,117,Calibration verified. Sensor readings within tolerance.
2071,H00427,H,299.4,310.2,1381,45.3,227,0,0,0,0,0,0,REC02071,CT008,CT Scanner,GE Revolution CT,Emergency,2024-04-28 00:00:00,299.4,310.2,1381,45.3,227,0,No Failure,Medium,0.0,0,167,Preventive maintenance performed. Equipment functioning within specifications.
2072,L01049,L,300.3,311.5,1269,42.5,190,0,0,0,0,0,0,REC02072,PAT012,Patient Monitor,Mindray N22,ICU,2023-12-18 00:00:00,300.3,311.5,1269,42.5,190,0,No Failure,Low,0.0,0,21,Calibration verified. Sensor readings within tolerance.
2073,L01050,L,302.1,312.2,1168,44.5,41,0,0,0,0,0,0,REC02073,VEN012,Ventilator,Drager Evita V500,ICU,2024-08-26 00:00:00,302.1,312.2,1168,44.5,41,0,No Failure,Low,0.0,0,145,Scheduled check completed. No anomalies detected.
2074,H00428,H,298.4,307.4,1849,59.3,44,0,0,0,0,0,0,REC02074,MRI008,MRI,GE SIGNA Premier,Neurology,2024-06-03 00:00:00,298.4,307.4,1849,59.3,44,0,No Failure,Medium,0.0,0,13,Scheduled check completed. No anomalies detected.
2075,L01051,L,302.9,312.9,1611,45.2,118,0,0,0,0,0,0,REC02075,PAT012,Patient Monitor,Mindray N22,Emergency,2024-01-18 00:00:00,302.9,312.9,1611,45.2,118,0,No Failure,Low,0.0,0,64,Calibration verified. Sensor readings within tolerance.
2076,M00597,M,301.9,311.2,1633,40.9,5,0,0,0,0,0,0,REC02076,ULT008,Ultrasound,GE LOGIQ E10,Radiology,2023-04-03 00:00:00,301.9,311.2,1633,40.9,5,0,No Failure,Low,0.0,0,125,Calibration verified. Sensor readings within tolerance.
2077,H00429,H,299.1,309.8,1442,37.2,5,0,0,0,0,0,0,REC02077,CT008,CT Scanner,GE Revolution CT,Emergency,2024-08-11 00:00:00,299.1,309.8,1442,37.2,5,0,No Failure,Medium,0.0,0,52,Calibration verified. Sensor readings within tolerance.
2078,L01052,L,297.8,307.4,1584,38.4,63,0,0,0,0,0,0,REC02078,PAT012,Patient Monitor,Mindray N22,General Ward,2023-08-27 00:00:00,297.8,307.4,1584,38.4,63,0,No Failure,Low,0.0,0,151,Preventive maintenance performed. Equipment functioning within specifications.
2079,L01053,L,297.1,307.0,1415,43.9,26,0,0,0,0,0,0,REC02079,VEN012,Ventilator,Drager Evita V500,ICU,2023-09-20 00:00:00,297.1,307.0,1415,43.9,26,0,No Failure,Low,0.0,0,168,Scheduled check completed. No anomalies detected.
2080,L01054,L,300.5,311.2,1662,32.5,138,0,0,0,0,0,0,REC02080,INF013,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-04-02 00:00:00,300.5,311.2,1662,32.5,138,0,No Failure,Low,0.0,0,28,Preventive maintenance performed. Equipment functioning within specifications.
2081,L01055,L,298.5,307.8,1537,33.7,10,0,0,0,0,0,0,REC02081,PAT012,Patient Monitor,Mindray N22,Cardiology,2023-06-08 00:00:00,298.5,307.8,1537,33.7,10,0,No Failure,Low,0.0,0,46,Preventive maintenance performed. Equipment functioning within specifications.
2082,L01056,L,302.4,313.4,1492,39.4,61,0,0,0,0,0,0,REC02082,VEN012,Ventilator,Drager Evita V500,ICU,2023-04-02 00:00:00,302.4,313.4,1492,39.4,61,0,No Failure,Low,0.0,0,13,Calibration verified. Sensor readings within tolerance.
2083,M00598,M,298.6,307.3,1507,35.5,14,0,0,0,0,0,0,REC02083,ICU007,ICU Device,Nellcor PM1000N,Emergency,2023-03-13 00:00:00,298.6,307.3,1507,35.5,14,0,No Failure,Low,0.0,0,128,Preventive maintenance performed. Equipment functioning within specifications.
2084,L01057,L,298.2,308.5,1793,46.0,134,0,0,0,0,0,0,REC02084,PAT012,Patient Monitor,Mindray N22,ICU,2023-01-16 00:00:00,298.2,308.5,1793,46.0,134,0,No Failure,Low,0.0,0,160,Routine inspection completed. All parameters normal.
2085,M00599,M,300.5,310.4,1533,46.7,89,0,0,0,0,0,0,REC02085,ULT008,Ultrasound,GE LOGIQ E10,Cardiology,2023-08-04 00:00:00,300.5,310.4,1533,46.7,89,0,No Failure,Low,0.0,0,108,Routine inspection completed. All parameters normal.
2086,L01058,L,298.6,309.5,1294,42.6,21,0,0,0,0,0,0,REC02086,INF013,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-07-05 00:00:00,298.6,309.5,1294,42.6,21,0,No Failure,Low,0.0,0,23,Routine inspection completed. All parameters normal.
2087,L01059,L,300.0,308.6,1567,44.9,89,0,0,0,0,0,0,REC02087,PAT012,Patient Monitor,Mindray N22,Emergency,2024-09-22 00:00:00,300.0,308.6,1567,44.9,89,0,No Failure,Low,0.0,0,31,Routine inspection completed. All parameters normal.
2088,L01060,L,302.0,310.4,1597,41.2,0,0,0,0,0,0,0,REC02088,VEN012,Ventilator,Drager Evita V500,ICU,2023-06-15 00:00:00,302.0,310.4,1597,41.2,0,0,No Failure,Low,0.0,0,6,Routine inspection completed. All parameters normal.
2089,M00600,M,300.2,311.0,1471,3.8,208,0,0,0,0,0,0,REC02089,ICU007,ICU Device,Nellcor PM1000N,Emergency,2023-11-06 00:00:00,300.2,311.0,1471,3.8,208,0,No Failure,Low,0.0,0,88,Calibration verified. Sensor readings within tolerance.
2090,L01061,L,300.2,309.9,1489,31.2,92,0,0,0,0,0,0,REC02090,PAT012,Patient Monitor,Mindray N22,General Ward,2024-08-30 00:00:00,300.2,309.9,1489,31.2,92,0,No Failure,Low,0.0,0,130,Preventive maintenance performed. Equipment functioning within specifications.
2091,L01062,L,300.4,310.3,1286,47.1,168,0,0,0,0,0,0,REC02091,VEN012,Ventilator,Drager Evita V500,ICU,2024-05-31 00:00:00,300.4,310.3,1286,47.1,168,0,No Failure,Low,0.0,0,27,Preventive maintenance performed. Equipment functioning within specifications.
2092,H00430,H,296.6,306.0,1519,31.6,179,0,0,0,0,0,0,REC02092,MRI008,MRI,GE SIGNA Premier,Neurology,2024-10-22 00:00:00,296.6,306.0,1519,31.6,179,0,No Failure,Medium,0.0,0,153,Routine inspection completed. All parameters normal.
2093,M00601,M,300.8,311.7,1257,48.6,140,0,0,0,0,0,0,REC02093,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2023-11-03 00:00:00,300.8,311.7,1257,48.6,140,0,No Failure,Low,0.0,0,45,Preventive maintenance performed. Equipment functioning within specifications.
2094,L01063,L,300.3,310.6,1449,49.1,148,0,0,0,0,0,0,REC02094,VEN012,Ventilator,Drager Evita V500,ICU,2023-05-04 00:00:00,300.3,310.6,1449,49.1,148,0,No Failure,Low,0.0,0,93,Routine inspection completed. All parameters normal.
2095,H00431,H,301.8,312.0,1366,37.3,108,0,0,0,0,0,0,REC02095,CT008,CT Scanner,GE Revolution CT,Emergency,2023-04-15 00:00:00,301.8,312.0,1366,37.3,108,0,No Failure,Medium,0.0,0,120,Preventive maintenance performed. Equipment functioning within specifications.
2096,L01064,L,301.2,310.0,1696,34.1,103,0,0,0,0,0,0,REC02096,PAT012,Patient Monitor,Mindray N22,ICU,2024-06-01 00:00:00,301.2,310.0,1696,34.1,103,0,No Failure,Low,0.0,0,97,Calibration verified. Sensor readings within tolerance.
2097,L01065,L,299.6,310.1,1809,40.1,77,0,0,0,0,0,0,REC02097,VEN012,Ventilator,Drager Evita V500,ICU,2023-01-20 00:00:00,299.6,310.1,1809,40.1,77,0,No Failure,Low,0.0,0,86,Scheduled check completed. No anomalies detected.
2098,L01066,L,302.1,311.1,1271,39.6,18,0,0,0,0,0,0,REC02098,INF013,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-12-03 00:00:00,302.1,311.1,1271,39.6,18,0,No Failure,Low,0.0,0,60,Routine inspection completed. All parameters normal.
2099,L01067,L,299.4,308.8,1499,46.3,88,0,0,0,0,0,0,REC02099,PAT012,Patient Monitor,Mindray N22,Emergency,2023-09-15 00:00:00,299.4,308.8,1499,46.3,88,0,No Failure,Low,0.0,0,77,Calibration verified. Sensor readings within tolerance.
2100,L01068,L,300.5,309.1,1437,16.6,117,0,0,0,0,0,0,REC02100,VEN012,Ventilator,Drager Evita V500,ICU,2024-11-01 00:00:00,300.5,309.1,1437,16.6,117,0,No Failure,Low,0.0,0,43,Calibration verified. Sensor readings within tolerance.
2101,M00602,M,299.4,309.2,1592,32.7,33,0,0,0,0,0,0,REC02101,ICU007,ICU Device,Nellcor PM1000N,Emergency,2024-12-29 00:00:00,299.4,309.2,1592,32.7,33,0,No Failure,Medium,0.0,0,53,Routine inspection completed. All parameters normal.
2102,L01069,L,300.9,312.0,1519,29.9,229,0,0,0,0,0,0,REC02102,PAT012,Patient Monitor,Mindray N22,General Ward,2023-12-20 00:00:00,300.9,312.0,1519,29.9,229,0,No Failure,Low,0.0,0,136,Routine inspection completed. All parameters normal.
2103,H00432,H,299.2,309.5,1422,14.8,2,0,0,0,0,0,0,REC02103,CT008,CT Scanner,Siemens SOMATOM Drive,Radiology,2024-02-28 00:00:00,299.2,309.5,1422,14.8,2,0,No Failure,Medium,0.0,0,159,Calibration verified. Sensor readings within tolerance.
2104,H00433,H,303.3,312.9,1518,35.1,56,0,0,0,0,0,0,REC02104,MRI008,MRI,GE SIGNA Premier,Neurology,2023-10-04 00:00:00,303.3,312.9,1518,35.1,56,0,No Failure,Medium,0.0,0,153,Routine inspection completed. All parameters normal.
2105,M00603,M,304.0,314.1,1457,25.0,171,0,0,0,0,0,0,REC02105,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2024-07-21 00:00:00,304.0,314.1,1457,25.0,171,0,No Failure,Low,0.0,0,59,Routine inspection completed. All parameters normal.
2106,M00604,M,301.7,311.9,1817,36.1,208,0,0,0,0,0,0,REC02106,ULT008,Ultrasound,GE LOGIQ E10,General Ward,2023-08-04 00:00:00,301.7,311.9,1817,36.1,208,0,No Failure,Low,0.0,0,58,Scheduled check completed. No anomalies detected.
2107,M00605,M,303.1,313.1,1341,35.1,119,0,0,0,0,0,0,REC02107,ICU007,ICU Device,Nellcor PM1000N,Emergency,2024-06-27 00:00:00,303.1,313.1,1341,35.1,119,0,No Failure,Low,0.0,0,10,Scheduled check completed. No anomalies detected.
2108,H00434,H,296.9,307.1,1551,44.5,148,0,0,0,0,0,0,REC02108,MRI008,MRI,Philips Ingenia 3T,Oncology,2024-10-21 00:00:00,296.9,307.1,1551,44.5,148,0,No Failure,Medium,0.0,0,49,Routine inspection completed. All parameters normal.
2109,L01070,L,297.2,306.1,1601,37.5,69,0,0,0,0,0,0,REC02109,VEN012,Ventilator,Drager Evita V500,ICU,2023-05-06 00:00:00,297.2,306.1,1601,37.5,69,0,No Failure,Low,0.0,0,105,Calibration verified. Sensor readings within tolerance.
2110,L01071,L,299.4,309.5,1587,23.1,241,0,0,0,0,0,0,REC02110,INF013,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-06-15 00:00:00,299.4,309.5,1587,23.1,241,0,No Failure,Low,0.0,0,48,Preventive maintenance performed. Equipment functioning within specifications.
2111,M00606,M,300.1,308.3,1440,43.5,162,0,0,0,0,0,0,REC02111,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2023-10-04 00:00:00,300.1,308.3,1440,43.5,162,0,No Failure,Low,0.0,0,132,Routine inspection completed. All parameters normal.
2112,M00607,M,299.6,310.2,1773,64.2,33,0,0,0,0,0,0,REC02112,ULT008,Ultrasound,GE LOGIQ E10,Radiology,2024-08-27 00:00:00,299.6,310.2,1773,64.2,33,0,No Failure,Low,0.0,0,9,Routine inspection completed. All parameters normal.
2113,L01072,L,296.7,305.6,1168,50.8,186,0,0,0,0,0,0,REC02113,INF013,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-04-12 00:00:00,296.7,305.6,1168,50.8,186,0,No Failure,Low,0.0,0,74,Preventive maintenance performed. Equipment functioning within specifications.
2114,M00608,M,302.3,313.5,1281,46.8,32,0,0,0,0,0,0,REC02114,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2023-05-22 00:00:00,302.3,313.5,1281,46.8,32,0,No Failure,Low,0.0,0,50,Preventive maintenance performed. Equipment functioning within specifications.
2115,L01073,L,304.0,312.0,1632,38.0,102,0,0,0,0,0,0,REC02115,VEN012,Ventilator,Drager Evita V500,ICU,2023-09-26 00:00:00,304.0,312.0,1632,38.0,102,0,No Failure,Low,0.0,0,89,Preventive maintenance performed. Equipment functioning within specifications.
2116,H00435,H,302.6,314.2,1323,35.1,124,0,0,0,0,0,0,REC02116,MRI008,MRI,GE SIGNA Premier,Neurology,2024-04-14 00:00:00,302.6,314.2,1323,35.1,124,0,No Failure,Medium,0.0,0,4,Scheduled check completed. No anomalies detected.
2117,L01074,L,302.2,310.5,1312,34.4,182,0,0,0,0,0,0,REC02117,PAT012,Patient Monitor,Mindray N22,Cardiology,2024-12-05 00:00:00,302.2,310.5,1312,34.4,182,0,No Failure,Low,0.0,0,75,Scheduled check completed. No anomalies detected.
2118,L01075,L,300.5,309.3,1406,42.4,252,0,0,0,0,0,0,REC02118,VEN012,Ventilator,Drager Evita V500,ICU,2023-11-26 00:00:00,300.5,309.3,1406,42.4,252,0,No Failure,Low,0.0,0,142,Scheduled check completed. No anomalies detected.
2119,L01076,L,298.3,308.6,1342,28.6,93,0,0,0,0,0,0,REC02119,INF013,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2023-02-24 00:00:00,298.3,308.6,1342,28.6,93,0,No Failure,Low,0.0,0,155,Calibration verified. Sensor readings within tolerance.
2120,L01077,L,300.1,310.8,1627,42.2,170,0,0,0,0,0,0,REC02120,PAT012,Patient Monitor,Mindray N22,ICU,2023-03-18 00:00:00,300.1,310.8,1627,42.2,170,0,No Failure,Low,0.0,0,46,Routine inspection completed. All parameters normal.
2121,L01078,L,304.0,313.7,1680,33.4,170,0,0,0,0,0,0,REC02121,VEN012,Ventilator,Drager Evita V500,ICU,2023-01-21 00:00:00,304.0,313.7,1680,33.4,170,0,No Failure,Low,0.0,0,77,Scheduled check completed. No anomalies detected.
2122,L01079,L,299.3,310.2,1517,22.9,46,0,0,0,0,0,0,REC02122,INF013,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-04-02 00:00:00,299.3,310.2,1517,22.9,46,0,No Failure,Low,0.0,0,124,Calibration verified. Sensor readings within tolerance.
2123,L01080,L,299.1,308.3,1710,33.2,162,0,0,0,0,0,0,REC02123,PAT013,Patient Monitor,Mindray N22,Emergency,2023-10-29 00:00:00,299.1,308.3,1710,33.2,162,0,No Failure,Low,0.0,0,83,Calibration verified. Sensor readings within tolerance.
2124,L01081,L,302.2,311.8,1222,52.5,222,0,0,0,0,0,0,REC02124,VEN012,Ventilator,Drager Evita V500,ICU,2023-07-25 00:00:00,302.2,311.8,1222,52.5,222,0,No Failure,Low,0.0,0,98,Preventive maintenance performed. Equipment functioning within specifications.
2125,L01082,L,302.3,312.0,1515,41.4,140,0,0,0,0,0,0,REC02125,INF013,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-08-08 00:00:00,302.3,312.0,1515,41.4,140,0,No Failure,Low,0.0,0,61,Preventive maintenance performed. Equipment functioning within specifications.
2126,L01083,L,298.3,307.8,1769,4.5,121,0,0,0,0,0,0,REC02126,PAT013,Patient Monitor,Mindray N22,General Ward,2024-07-13 00:00:00,298.3,307.8,1769,4.5,121,0,No Failure,Low,0.0,0,151,Scheduled check completed. No anomalies detected.
2127,L01084,L,299.5,307.5,1695,33.3,163,0,0,0,0,0,0,REC02127,VEN012,Ventilator,Drager Evita V500,ICU,2023-12-15 00:00:00,299.5,307.5,1695,33.3,163,0,No Failure,Low,0.0,0,114,Routine inspection completed. All parameters normal.
2128,L01085,L,299.0,309.0,1787,49.0,204,0,0,0,0,0,0,REC02128,INF013,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-06-16 00:00:00,299.0,309.0,1787,49.0,204,0,No Failure,Low,0.0,0,173,Routine inspection completed. All parameters normal.
2129,L01086,L,300.1,310.0,1381,37.0,56,0,0,0,0,0,0,REC02129,PAT013,Patient Monitor,Mindray N22,Cardiology,2024-01-31 00:00:00,300.1,310.0,1381,37.0,56,0,No Failure,Low,0.0,0,141,Routine inspection completed. All parameters normal.
2130,L01087,L,302.2,313.3,1683,45.2,41,0,0,0,0,0,0,REC02130,VEN012,Ventilator,Drager Evita V500,ICU,2023-05-30 00:00:00,302.2,313.3,1683,45.2,41,0,No Failure,Low,0.0,0,66,Calibration verified. Sensor readings within tolerance.
2131,L01088,L,298.4,307.1,1414,36.0,164,0,0,0,0,0,0,REC02131,INF013,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-11-23 00:00:00,298.4,307.1,1414,36.0,164,0,No Failure,Low,0.0,0,59,Calibration verified. Sensor readings within tolerance.
2132,M00609,M,302.2,311.5,1619,41.8,8,0,0,0,0,0,0,REC02132,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2023-12-14 00:00:00,302.2,311.5,1619,41.8,8,0,No Failure,Medium,0.0,0,15,Calibration verified. Sensor readings within tolerance.
2133,H00436,H,300.2,311.4,1762,40.4,208,0,0,0,0,0,0,REC02133,CT008,CT Scanner,Siemens SOMATOM Drive,Radiology,2024-09-02 00:00:00,300.2,311.4,1762,40.4,208,0,No Failure,Medium,0.0,0,112,Calibration verified. Sensor readings within tolerance.
2134,H00437,H,304.0,314.3,1341,33.5,76,0,0,0,0,0,0,REC02134,MRI008,MRI,GE SIGNA Premier,Neurology,2023-03-12 00:00:00,304.0,314.3,1341,33.5,76,0,No Failure,Medium,0.0,0,135,Routine inspection completed. All parameters normal.
2135,M00610,M,300.6,311.2,1168,45.7,28,0,0,0,0,0,0,REC02135,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2024-09-12 00:00:00,300.6,311.2,1168,45.7,28,0,No Failure,Low,0.0,0,64,Routine inspection completed. All parameters normal.
2136,M00611,M,299.8,310.3,1869,55.3,193,0,0,0,0,0,0,REC02136,ULT008,Ultrasound,GE LOGIQ E10,Radiology,2024-06-06 00:00:00,299.8,310.3,1869,55.3,193,0,No Failure,Low,0.0,0,3,Preventive maintenance performed. Equipment functioning within specifications.
2137,L01089,L,301.1,311.6,1597,43.8,56,0,0,0,0,0,0,REC02137,INF013,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-07-02 00:00:00,301.1,311.6,1597,43.8,56,0,No Failure,Low,0.0,0,149,Routine inspection completed. All parameters normal.
2138,M00612,M,299.3,311.1,1478,41.0,101,0,0,0,0,0,0,REC02138,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2024-08-02 00:00:00,299.3,311.1,1478,41.0,101,0,No Failure,Medium,0.0,0,40,Calibration verified. Sensor readings within tolerance.
2139,M00613,M,296.4,306.5,1467,31.6,104,0,0,0,0,0,0,REC02139,ULT008,Ultrasound,GE LOGIQ E10,Emergency,2024-06-26 00:00:00,296.4,306.5,1467,31.6,104,0,No Failure,Medium,0.0,0,105,Calibration verified. Sensor readings within tolerance.
2140,H00438,H,299.5,308.5,1168,49.4,207,1,1,0,0,0,0,REC02140,MRI008,MRI,GE SIGNA Premier,Neurology,2024-10-14 00:00:00,299.5,308.5,1168,49.4,207,1,Tool Wear Failure,Critical,29.5,10502,9,Wear-induced failure. Component replaced and system tested.
2141,H00439,H,299.5,310.1,1541,34.9,66,0,0,0,0,0,0,REC02141,CT008,CT Scanner,Canon Aquilion Prime,Oncology,2023-06-03 00:00:00,299.5,310.1,1541,34.9,66,0,No Failure,Medium,0.0,0,11,Routine inspection completed. All parameters normal.
2142,L01090,L,296.8,306.2,1393,45.6,160,0,0,0,0,0,0,REC02142,VEN012,Ventilator,Drager Evita V500,ICU,2024-10-08 00:00:00,296.8,306.2,1393,45.6,160,0,No Failure,Low,0.0,0,162,Routine inspection completed. All parameters normal.
2143,M00614,M,299.9,309.7,1510,47.6,252,0,0,0,0,0,0,REC02143,ICU007,ICU Device,Nellcor PM1000N,Emergency,2024-07-10 00:00:00,299.9,309.7,1510,47.6,252,0,No Failure,Medium,0.0,0,121,Preventive maintenance performed. Equipment functioning within specifications.
2144,H00440,H,295.9,306.2,1506,49.9,151,0,0,0,0,0,0,REC02144,MRI008,MRI,Philips Ingenia 3T,Oncology,2023-09-04 00:00:00,295.9,306.2,1506,49.9,151,0,No Failure,Medium,0.0,0,0,Preventive maintenance performed. Equipment functioning within specifications.
2145,L01091,L,299.3,308.5,1168,50.1,35,0,0,0,0,0,0,REC02145,VEN012,Ventilator,Drager Evita V500,ICU,2023-09-13 00:00:00,299.3,308.5,1168,50.1,35,0,No Failure,Low,0.0,0,18,Calibration verified. Sensor readings within tolerance.
2146,H00441,H,300.5,310.0,1597,49.7,71,0,0,0,0,0,0,REC02146,MRI008,MRI,GE SIGNA Premier,Neurology,2023-07-05 00:00:00,300.5,310.0,1597,49.7,71,0,No Failure,Medium,0.0,0,89,Scheduled check completed. No anomalies detected.
2147,L01092,L,300.2,310.7,1537,27.4,135,0,0,0,0,0,0,REC02147,PAT013,Patient Monitor,Mindray N22,Emergency,2023-12-15 00:00:00,300.2,310.7,1537,27.4,135,0,No Failure,Low,0.0,0,123,Routine inspection completed. All parameters normal.
2148,H00442,H,299.2,308.6,1564,31.4,81,0,0,0,0,0,0,REC02148,MRI008,MRI,Siemens MAGNETOM Vida,Radiology,2024-10-16 00:00:00,299.2,308.6,1564,31.4,81,0,No Failure,Medium,0.0,0,76,Routine inspection completed. All parameters normal.
2149,M00615,M,299.8,310.8,1463,26.3,130,0,0,0,0,0,0,REC02149,ICU007,ICU Device,Nellcor PM1000N,Emergency,2024-09-03 00:00:00,299.8,310.8,1463,26.3,130,0,No Failure,Medium,0.0,0,157,Scheduled check completed. No anomalies detected.
2150,L01093,L,298.4,307.4,1509,25.6,137,0,0,0,0,0,0,REC02150,PAT013,Patient Monitor,Mindray N22,General Ward,2023-04-17 00:00:00,298.4,307.4,1509,25.6,137,0,No Failure,Low,0.0,0,118,Routine inspection completed. All parameters normal.
2151,M00616,M,300.0,309.0,1534,55.3,186,0,0,0,0,0,0,REC02151,ULT008,Ultrasound,GE LOGIQ E10,Emergency,2023-04-06 00:00:00,300.0,309.0,1534,55.3,186,0,No Failure,Low,0.0,0,111,Preventive maintenance performed. Equipment functioning within specifications.
2152,L01094,L,300.1,312.0,1554,30.1,157,0,0,0,0,0,0,REC02152,INF013,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-02-13 00:00:00,300.1,312.0,1554,30.1,157,0,No Failure,Low,0.0,0,52,Scheduled check completed. No anomalies detected.
2153,M00617,M,298.2,306.7,1595,28.7,176,0,0,0,0,0,0,REC02153,LAB007,Lab Analyzer,Beckman AU5800,General Ward,2024-03-24 00:00:00,298.2,306.7,1595,28.7,176,0,No Failure,Medium,0.0,0,123,Routine inspection completed. All parameters normal.
2154,M00618,M,300.5,310.5,1556,39.4,55,0,0,0,0,0,0,REC02154,ULT008,Ultrasound,GE LOGIQ E10,General Ward,2023-08-18 00:00:00,300.5,310.5,1556,39.4,55,0,No Failure,Medium,0.0,0,158,Preventive maintenance performed. Equipment functioning within specifications.
2155,M00619,M,300.5,312.4,1869,32.5,107,0,0,0,0,0,0,REC02155,ICU007,ICU Device,Nellcor PM1000N,Emergency,2024-07-09 00:00:00,300.5,312.4,1869,32.5,107,0,No Failure,Low,0.0,0,8,Preventive maintenance performed. Equipment functioning within specifications.
