UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2494,H00505,H,300.0,308.6,1763,41.1,166,0,0,0,0,0,0
2495,H00506,H,299.7,310.3,1614,45.3,211,0,0,0,0,0,0
2496,M00724,M,298.3,309.7,1596,30.4,208,1,1,0,0,0,0
2497,M00725,M,300.7,310.3,1168,37.7,125,0,0,0,0,0,0
2498,L01267,L,299.4,311.0,1710,36.6,18,0,0,0,0,0,0
2499,H00507,H,298.2,306.5,1440,39.2,47,0,0,0,0,0,0
2500,L01268,L,302.0,310.8,1515,46.6,0,0,0,0,0,0,0
2501,L01269,L,300.2,310.1,1245,45.7,46,0,0,0,0,0,0
2502,M00726,M,299.5,309.2,1917,34.0,7,0,0,0,0,0,0
2503,H00508,H,302.7,312.0,1168,25.0,180,0,0,0,0,0,0
2504,H00509,H,296.3,306.5,1797,41.7,138,0,0,0,0,0,0
2505,L01270,L,302.5,312.0,1585,33.4,9,0,0,0,0,0,0
2506,L01271,L,298.2,307.9,1168,34.7,156,0,0,0,0,0,0
2507,H00510,H,300.4,310.7,1907,42.2,205,0,0,0,0,0,0
2508,H00511,H,298.8,308.2,1602,35.6,7,0,0,0,0,0,0
2509,M00727,M,298.2,308.0,1168,43.1,32,0,0,0,0,0,0
2510,M00728,M,302.6,312.0,1415,65.1,119,0,0,0,0,0,0
2511,L01272,L,303.7,312.5,1606,46.9,10,0,0,0,0,0,0
2512,L01273,L,299.6,310.3,1842,53.4,5,0,0,0,0,0,0
2513,L01274,L,300.7,312.4,1418,45.1,147,0,0,0,0,0,0
2514,L01275,L,300.1,311.2,1168,40.8,142,0,0,0,0,0,0
2515,L01276,L,303.5,313.8,1791,45.3,204,0,0,0,0,0,0
2516,H00512,H,295.8,305.1,1599,44.8,19,0,0,0,0,0,0
2517,L01277,L,300.8,310.5,1168,48.6,226,0,0,0,0,0,0
2518,L01278,L,298.5,309.6,1568,40.6,4,0,0,0,0,0,0
2519,M00729,M,295.3,303.3,1589,26.9,76,0,0,0,0,0,0
2520,L01279,L,299.3,308.9,1435,25.3,12,0,0,0,0,0,0
2521,L01280,L,303.7,314.4,1334,44.6,61,0,0,0,0,0,0
2522,M00730,M,298.7,307.5,1378,28.7,206,0,0,0,0,0,0
2523,L01281,L,301.6,312.0,1434,46.9,31,0,0,0,0,0,0
2524,M00731,M,302.4,312.8,1570,53.4,51,0,0,0,0,0,0
2525,H00513,H,300.0,308.5,1657,37.8,154,0,0,0,0,0,0
2526,L01282,L,300.2,310.3,1168,52.1,5,0,0,0,0,0,0
2527,H00514,H,296.6,305.9,1551,42.6,152,0,0,0,0,0,0
2528,H00515,H,298.6,309.0,1597,40.3,226,0,0,0,0,0,0
2529,H00516,H,301.8,312.5,1533,40.7,17,0,0,0,0,0,0
2530,M00732,M,300.1,310.5,1419,31.7,1,0,0,0,0,0,0
2531,M00733,M,300.7,310.8,1783,30.4,102,0,0,0,0,0,0
2532,M00734,M,300.3,310.6,1768,23.6,214,0,0,0,0,0,0
2533,M00735,M,304.0,312.8,1426,32.7,236,0,0,0,0,0,0
2534,L01283,L,299.1,309.1,1483,61.4,202,0,0,0,0,0,0
2535,H00517,H,303.2,312.4,1654,25.1,164,0,0,0,0,0,0
2536,M00736,M,300.3,311.3,1756,28.2,107,0,0,0,0,0,0
2537,M00737,M,303.4,314.1,1336,31.9,199,0,0,0,0,0,0
2538,L01284,L,297.6,308.2,1290,32.4,191,0,0,0,0,0,0
2539,L01285,L,300.4,312.1,1554,42.7,46,0,0,0,0,0,0
2540,M00738,M,299.2,308.9,1275,33.9,181,0,0,0,0,0,0
2541,M00739,M,300.3,309.7,1168,38.0,200,0,0,0,0,0,0
2542,L01286,L,302.4,312.1,1335,31.5,227,0,0,0,0,0,0
2543,L01287,L,300.8,309.2,1583,35.2,184,0,0,0,0,0,0
2544,L01288,L,302.4,310.9,1810,39.4,185,0,0,0,0,0,0
2545,M00740,M,298.7,309.3,1358,38.7,228,0,0,0,0,0,0
2546,L01289,L,298.4,307.0,1475,59.8,49,0,0,0,0,0,0
2547,H00518,H,300.0,309.0,1531,39.7,139,0,0,0,0,0,0
2548,L01290,L,299.9,309.8,1370,37.9,226,0,0,0,0,0,0
2549,L01291,L,299.6,309.2,1354,15.0,159,0,0,0,0,0,0
2550,L01292,L,298.1,309.0,1566,42.4,235,0,0,0,0,0,0
2551,M00741,M,302.4,312.5,1260,20.2,12,0,0,0,0,0,0
2552,L01293,L,299.3,308.5,1346,45.5,54,0,0,0,0,0,0
2553,M00742,M,302.9,313.8,1459,41.4,56,0,0,0,0,0,0
2554,H00519,H,300.0,310.8,1564,48.0,19,0,0,0,0,0,0
2555,L01294,L,301.3,309.9,1196,33.7,157,0,0,0,0,0,0
2556,M00743,M,301.1,311.4,1473,40.3,101,0,0,0,0,0,0
2557,L01295,L,298.4,307.6,1241,46.8,61,0,0,0,0,0,0
2558,L01296,L,300.7,310.0,1363,30.7,184,0,0,0,0,0,0
2559,L01297,L,303.9,315.7,1657,46.1,171,0,0,0,0,0,0
2560,L01298,L,300.5,310.6,1485,45.6,9,0,0,0,0,0,0
2561,M00744,M,301.8,311.6,1833,38.7,111,0,0,0,0,0,0
2562,M00745,M,301.4,311.5,1485,55.8,182,0,0,0,0,0,0
2563,M00746,M,300.6,311.5,1693,45.2,26,0,0,0,0,0,0
2564,M00747,M,300.4,309.7,1658,23.3,201,0,0,0,0,0,0
2565,M00748,M,301.1,310.6,1497,49.9,155,0,0,0,0,0,0
2566,L01299,L,301.5,312.2,1236,33.4,181,0,0,0,0,0,0
2567,L01300,L,297.3,305.8,1478,48.0,63,0,0,0,0,0,0
2568,L01301,L,300.5,311.5,1393,43.0,189,0,0,0,0,0,0
2569,M00749,M,299.6,308.0,1385,13.6,43,0,0,0,0,0,0
2570,H00520,H,299.2,309.0,1531,46.0,217,0,0,0,0,0,0
2571,L01302,L,302.6,311.0,1210,37.8,52,0,0,0,0,0,0
2572,M00750,M,298.5,307.5,1325,35.4,67,0,0,0,0,0,0
2573,M00751,M,297.2,308.5,1297,35.8,169,0,0,0,0,0,0
2574,H00521,H,301.6,312.6,1449,47.9,84,0,0,0,0,0,0
2575,M00752,M,297.2,308.3,1346,30.8,78,0,0,0,0,0,0
2576,M00753,M,296.1,304.7,1359,51.1,15,0,0,0,0,0,0
2577,M00754,M,301.8,310.8,1527,24.8,207,0,0,0,0,0,0
2578,H00522,H,300.3,310.7,1410,43.0,116,0,0,0,0,0,0
2579,L01303,L,300.9,311.7,1500,47.7,99,0,0,0,0,0,0
2580,H00523,H,299.1,308.3,1276,47.5,62,0,0,0,0,0,0
2581,L01304,L,297.2,306.7,1334,41.8,140,0,0,0,0,0,0
2582,H00524,H,297.6,306.5,1908,37.9,141,0,0,0,0,0,0
2583,L01305,L,299.5,311.1,1360,34.5,0,0,0,0,0,0,0
2584,L01306,L,297.5,307.0,1168,27.8,21,0,0,0,0,0,0
2585,L01307,L,300.6,310.6,1568,33.1,155,0,0,0,0,0,0
2586,L01308,L,299.1,309.2,1358,30.4,71,0,0,0,0,0,0
2587,L01309,L,300.4,311.5,1548,28.7,248,0,0,0,0,0,0
2588,L01310,L,300.3,309.4,1482,58.0,62,0,0,0,0,0,0
2589,L01311,L,300.8,311.9,1609,22.8,38,0,0,0,0,0,0
2590,L01312,L,301.0,309.7,1480,51.3,11,0,0,0,0,0,0
2591,M00755,M,299.3,310.5,1454,27.6,173,0,0,0,0,0,0
2592,H00525,H,300.4,308.7,1729,29.8,73,0,0,0,0,0,0
2593,M00756,M,300.5,310.4,1168,29.6,69,0,0,0,0,0,0
2594,L01313,L,295.1,306.8,1234,28.9,27,0,0,0,0,0,0
2595,L01314,L,301.3,312.0,1334,49.2,13,0,0,0,0,0,0
2596,H00526,H,300.3,310.7,1168,45.9,58,0,0,0,0,0,0
2597,L01315,L,301.1,310.1,1404,37.7,100,0,0,0,0,0,0
2598,L01316,L,297.4,306.7,1384,67.1,167,0,0,0,0,0,0
2599,H00527,H,299.4,310.7,1694,39.8,25,0,0,0,0,0,0
2600,H00528,H,297.8,308.3,1482,40.6,92,0,0,0,0,0,0
2601,L01317,L,301.5,312.4,1457,33.1,251,0,0,0,0,0,0
2602,M00757,M,297.2,307.3,1424,32.0,172,0,0,0,0,0,0
2603,L01318,L,298.1,307.9,1289,34.7,252,1,1,0,0,0,0
2604,M00758,M,301.1,311.8,1678,48.5,20,0,0,0,0,0,0
2605,L01319,L,298.7,309.0,1742,45.7,102,0,0,0,0,0,0
2606,L01320,L,298.1,308.0,1257,52.9,58,0,0,0,0,0,0
2607,M00759,M,301.8,310.4,1824,32.8,238,0,0,0,0,0,0
2608,L01321,L,301.9,312.8,1365,45.9,229,0,0,0,0,0,0
2609,M00760,M,301.4,311.9,1349,43.1,143,0,0,0,0,0,0
2610,L01322,L,301.7,311.1,1594,44.3,77,0,0,0,0,0,0
2611,H00529,H,299.5,310.7,1612,31.4,137,0,0,0,0,0,0
2612,H00530,H,299.6,309.8,1485,29.6,220,0,0,0,0,0,0
2613,L01323,L,298.7,309.0,1430,45.4,145,0,0,0,0,0,0
2614,M00761,M,300.3,311.2,1734,48.7,193,0,0,0,0,0,0
2615,L01324,L,298.9,309.6,1375,33.8,174,0,0,0,0,0,0
2616,L01325,L,299.1,309.4,1486,46.1,24,0,0,0,0,0,0
2617,L01326,L,301.2,311.0,1838,52.0,191,0,0,0,0,0,0
2618,H00531,H,302.4,314.4,1232,36.4,52,0,0,0,0,0,0
2619,H00532,H,300.8,310.1,1408,25.6,220,0,0,0,0,0,0
2620,H00533,H,303.6,314.3,1705,26.9,78,0,0,0,0,0,0
2621,H00534,H,298.6,308.5,1605,33.2,142,0,0,0,0,0,0
2622,H00535,H,296.3,306.8,1678,35.5,72,0,0,0,0,0,0
2623,L01327,L,301.4,312.7,1235,39.6,2,0,0,0,0,0,0
2624,H00536,H,298.5,308.1,1564,39.8,197,0,0,0,0,0,0
2625,M00762,M,299.5,310.1,1442,37.3,180,0,0,0,0,0,0
2626,L01328,L,296.5,306.7,1954,46.8,233,0,0,0,0,0,0
2627,M00763,M,298.2,307.6,1661,32.4,144,0,0,0,0,0,0
2628,L01329,L,297.0,308.3,1495,52.6,47,0,0,0,0,0,0
2629,L01330,L,299.1,309.8,1557,49.4,43,0,0,0,0,0,0
2630,L01331,L,299.2,308.8,1510,48.7,98,0,0,0,0,0,0
2631,L01332,L,300.2,311.3,1639,33.4,83,0,0,0,0,0,0
2632,L01333,L,302.5,311.6,1328,38.8,103,0,0,0,0,0,0
2633,H00537,H,301.4,311.3,1773,47.2,56,0,0,0,0,0,0
2634,M00764,M,296.8,306.3,1235,38.0,250,0,0,0,0,0,0
2635,M00765,M,301.2,312.0,1541,33.0,21,0,0,0,0,0,0
2636,L01334,L,300.2,309.7,1335,32.6,187,0,0,0,0,0,0
2637,L01335,L,299.8,310.6,1508,33.1,143,0,0,0,0,0,0
2638,L01336,L,300.0,310.5,1697,28.4,140,0,0,0,0,0,0
2639,H00538,H,300.4,310.0,1168,68.7,155,0,0,0,0,0,0
2640,L01337,L,298.6,310.4,1466,20.5,228,0,0,0,0,0,0
2641,M00766,M,299.6,308.9,1212,30.2,170,0,0,0,0,0,0
2642,M00767,M,302.4,311.0,1444,46.0,68,0,0,0,0,0,0
2643,M00768,M,298.6,309.4,1211,33.2,68,0,0,0,0,0,0
2644,H00539,H,297.9,305.9,1532,36.5,209,0,0,0,0,0,0
2645,L01338,L,299.9,311.4,1414,44.0,120,0,0,0,0,0,0
2646,H00540,H,297.7,307.8,1649,50.3,178,0,0,0,0,0,0
2647,M00769,M,296.6,305.1,1745,37.3,95,0,0,0,0,0,0
2648,M00770,M,299.3,308.4,1502,49.2,186,0,0,0,0,0,0
2649,M00771,M,302.9,311.3,1678,23.0,107,0,0,0,0,0,0
2650,H00541,H,299.9,310.3,1776,33.9,124,0,0,0,0,0,0
2651,H00542,H,300.4,309.0,1315,44.9,234,0,0,0,0,0,0
2652,L01339,L,295.7,306.2,1786,59.7,125,0,0,0,0,0,0
2653,H00543,H,300.9,310.6,1492,30.3,56,0,0,0,0,0,0
2654,M00772,M,300.2,309.7,1304,28.6,134,0,0,0,0,0,0
2655,L01340,L,298.7,309.2,1559,43.4,2,0,0,0,0,0,0
2656,H00544,H,300.4,311.0,1485,40.5,70,0,0,0,0,0,0
2657,L01341,L,300.3,311.5,1218,32.8,152,0,0,0,0,0,0
2658,M00773,M,297.9,307.2,1279,27.8,17,0,0,0,0,0,0
2659,L01342,L,300.7,310.6,1827,34.9,115,0,0,0,0,0,0
2660,L01343,L,302.4,311.8,1555,45.2,151,0,0,0,0,0,0
2661,H00545,H,299.5,309.7,1796,36.7,57,0,0,0,0,0,0
2662,L01344,L,298.3,307.5,1416,51.7,55,0,0,0,0,0,0
2663,L01345,L,299.6,309.2,1339,38.6,169,0,0,0,0,0,0
2664,L01346,L,301.7,311.3,1168,46.0,246,0,0,0,0,0,0
2665,L01347,L,297.5,307.8,1693,42.8,77,0,0,0,0,0,0
2666,H00546,H,301.2,311.2,1582,36.0,52,0,0,0,0,0,0
2667,H00547,H,298.6,309.2,1418,48.3,248,0,0,0,0,0,0
2668,L01348,L,300.5,310.4,1341,27.8,211,0,0,0,0,0,0
2669,M00774,M,298.9,308.3,1725,34.5,236,0,0,0,0,0,0
2670,L01349,L,298.9,309.1,1464,35.9,11,0,0,0,0,0,0
2671,M00775,M,303.0,312.1,1466,43.8,236,0,0,0,0,0,0
2672,L01350,L,297.2,307.8,1379,46.3,212,0,0,0,0,0,0
2673,L01351,L,301.0,310.7,1418,31.8,75,0,0,0,0,0,0
2674,L01352,L,303.5,313.7,1610,30.4,157,0,0,0,0,0,0
2675,M00776,M,301.4,311.6,1216,40.8,43,0,0,0,0,0,0
2676,M00777,M,297.3,308.9,1516,24.6,105,0,0,0,0,0,0
2677,L01353,L,297.4,307.8,1691,50.1,152,0,0,0,0,0,0
2678,H00548,H,298.5,308.6,1483,37.8,27,0,0,0,0,0,0
2679,M00778,M,300.3,309.6,1710,28.3,244,0,0,0,0,0,0
2680,L01354,L,300.5,311.3,1768,28.1,235,0,0,0,0,0,0
2681,H00549,H,297.5,307.2,1680,43.1,219,0,0,0,0,0,0
2682,H00550,H,298.3,306.7,1392,42.9,32,0,0,0,0,0,0
2683,L01355,L,298.4,308.2,1492,32.3,169,0,0,0,0,0,0
2684,M00779,M,299.6,309.8,1569,38.9,225,0,0,0,0,0,0
2685,L01356,L,304.0,313.2,1406,28.7,34,0,0,0,0,0,0
2686,M00780,M,298.1,308.0,1399,37.4,163,0,0,0,0,0,0
2687,L01357,L,298.0,308.0,1387,54.8,51,0,0,0,0,0,0
2688,M00781,M,297.7,307.7,2008,61.3,174,0,0,0,0,0,0
2689,L01358,L,301.3,312.5,1445,37.9,163,0,0,0,0,0,0
2690,M00782,M,299.9,308.6,1713,44.3,220,0,0,0,0,0,0
2691,H00551,H,298.2,310.2,1326,43.9,122,0,0,0,0,0,0
2692,L01359,L,299.3,309.2,1840,22.8,191,0,0,0,0,0,0
2693,H00552,H,298.4,309.0,1424,28.5,48,0,0,0,0,0,0
2694,H00553,H,300.6,310.7,1510,16.8,162,0,0,0,0,0,0
2695,H00554,H,304.0,312.3,1168,44.5,221,0,0,0,0,0,0
2696,L01360,L,301.1,310.0,1723,59.5,182,0,0,0,0,0,0
2697,H00555,H,299.8,309.3,1766,50.7,222,0,0,0,0,0,0
2698,L01361,L,298.7,309.7,1262,40.4,159,0,0,0,0,0,0
2699,L01362,L,297.3,305.9,1734,39.0,139,0,0,0,0,0,0
2700,H00556,H,301.5,310.6,1232,36.5,231,0,0,0,0,0,0
2701,M00783,M,301.4,311.5,1626,50.6,81,0,0,0,0,0,0
2702,M00784,M,299.1,309.5,1442,42.2,189,0,0,0,0,0,0
2703,L01363,L,302.4,312.9,1767,40.6,175,0,0,0,0,0,0
2704,H00557,H,300.0,309.1,1549,29.0,206,0,0,0,0,0,0
2705,M00785,M,301.5,310.0,1686,46.0,125,0,0,0,0,0,0
2706,L01364,L,300.6,311.1,1747,38.5,124,0,0,0,0,0,0
2707,H00558,H,299.6,311.1,1441,44.0,8,0,0,0,0,0,0
2708,L01365,L,298.1,307.7,1494,50.0,235,0,0,0,0,0,0
2709,L01366,L,299.7,308.6,1277,23.7,97,0,0,0,0,0,0
2710,M00786,M,301.7,311.3,1439,37.0,139,0,0,0,0,0,0
2711,H00559,H,299.0,309.4,1885,35.6,50,0,0,0,0,0,0
2712,L01367,L,300.9,310.6,1651,34.7,155,0,0,0,0,0,0
2713,L01368,L,297.8,309.2,1291,28.8,87,0,0,0,0,0,0
2714,L01369,L,301.6,312.5,1826,32.7,148,0,0,0,0,0,0
2715,H00560,H,300.6,310.8,1577,29.0,186,0,0,0,0,0,0
2716,L01370,L,297.6,305.6,1666,48.2,154,0,0,0,0,0,0
2717,M00787,M,299.6,308.9,1598,43.8,7,0,0,0,0,0,0
2718,H00561,H,301.9,311.3,1583,43.1,203,0,0,0,0,0,0
2719,L01371,L,297.5,306.7,1168,20.7,141,1,0,0,1,0,0
2720,M00788,M,297.9,308.0,1721,59.5,60,0,0,0,0,0,0
2721,M00789,M,299.9,310.1,1168,35.9,81,0,0,0,0,0,0
2722,H00562,H,304.0,312.3,1703,57.4,205,0,0,0,0,0,0
2723,L01372,L,298.7,309.5,1519,47.5,236,0,0,0,0,0,0
2724,L01373,L,301.0,311.0,1667,37.7,205,0,0,0,0,0,0
2725,L01374,L,300.5,310.9,1531,60.4,224,0,0,0,0,0,0
2726,M00790,M,298.8,309.6,1708,45.7,123,0,0,0,0,0,0
2727,M00791,M,300.3,309.6,1503,37.7,105,0,0,0,0,0,0
2728,L01375,L,299.1,310.4,1556,36.1,207,0,0,0,0,0,0
2729,L01376,L,299.3,309.1,1580,50.3,99,0,0,0,0,0,0
2730,H00563,H,296.7,308.2,1875,34.6,178,0,0,0,0,0,0
2731,L01377,L,300.0,309.1,1620,36.2,155,0,0,0,0,0,0
2732,L01378,L,301.8,313.2,1236,34.0,38,0,0,0,0,0,0
2733,M00792,M,300.1,309.2,1387,32.4,78,0,0,0,0,0,0
2734,L01379,L,302.2,314.2,1619,33.1,53,0,0,0,0,0,0
2735,L01380,L,301.2,310.2,1751,57.7,31,0,0,0,0,0,0
2736,L01381,L,299.9,310.9,1355,50.1,106,0,0,0,0,0,0
2737,L01382,L,298.7,308.4,1947,42.4,50,0,0,0,0,0,0
2738,M00793,M,299.0,309.7,1535,34.5,18,0,0,0,0,0,0
2739,M00794,M,297.1,307.0,1584,34.5,52,0,0,0,0,0,0
2740,M00795,M,299.5,308.4,1249,36.3,156,0,0,0,0,0,0
2741,L01383,L,300.3,308.3,1723,57.9,204,0,0,0,0,0,0
2742,H00564,H,303.4,315.4,1410,42.9,117,0,0,0,0,0,0
2743,L01384,L,301.1,311.1,1350,47.5,154,0,0,0,0,0,0
2744,M00796,M,298.3,306.3,1436,42.0,164,0,0,0,0,0,0
2745,L01385,L,297.1,307.4,1776,31.1,164,0,0,0,0,0,0
2746,M00797,M,299.6,310.3,1593,41.0,249,0,0,0,0,0,0
2747,L01386,L,301.6,310.9,1322,29.2,154,0,0,0,0,0,0
2748,L01387,L,299.6,308.9,1393,52.0,138,0,0,0,0,0,0
2749,L01388,L,301.1,311.1,1781,32.5,219,0,0,0,0,0,0
2750,L01389,L,299.6,310.8,1452,34.3,157,0,0,0,0,0,0
2751,L01390,L,301.4,311.5,1612,48.1,115,0,0,0,0,0,0
2752,M00798,M,296.8,308.3,1661,33.0,187,0,0,0,0,0,0
2753,H00565,H,303.2,314.3,1168,37.8,56,0,0,0,0,0,0
2754,L01391,L,297.8,307.5,1752,13.6,170,0,0,0,0,0,0
2755,H00566,H,301.6,310.0,1329,36.8,194,0,0,0,0,0,0
2756,M00799,M,299.5,309.2,1427,45.9,161,0,0,0,0,0,0
2757,H00567,H,299.8,310.3,1807,33.7,47,0,0,0,0,0,0
2758,M00800,M,299.5,309.6,1789,45.6,130,0,0,0,0,0,0
2759,M00801,M,300.5,311.1,1598,39.8,204,0,0,0,0,0,0
2760,M00802,M,300.9,311.8,1645,50.9,101,0,0,0,0,0,0
2761,M00803,M,302.1,312.6,1695,32.7,234,0,0,0,0,0,0
2762,H00568,H,302.8,312.5,1786,37.6,12,0,0,0,0,0,0
2763,L01392,L,300.7,311.2,1811,25.3,168,0,0,0,0,0,0
2764,L01393,L,303.4,315.4,1521,39.1,58,0,0,0,0,0,0
2765,L01394,L,300.2,308.7,1352,35.8,164,0,0,0,0,0,0
2766,H00569,H,302.2,312.6,1448,49.6,240,0,0,0,0,0,0
2767,L01395,L,300.9,312.7,1525,33.8,145,0,0,0,0,0,0
2768,M00804,M,298.9,307.7,1489,35.8,110,0,0,0,0,0,0
2769,H00570,H,300.4,311.4,1297,33.2,217,0,0,0,0,0,0
2770,H00571,H,301.0,312.1,1587,40.3,117,0,0,0,0,0,0
2771,L01396,L,299.9,308.5,1186,59.9,142,1,0,1,0,0,0
2772,M00805,M,300.8,311.5,1517,5.0,77,0,0,0,0,0,0
2773,H00572,H,301.7,311.5,1529,39.5,138,0,0,0,0,0,0
2774,L01397,L,300.0,309.9,1523,51.7,181,0,0,0,0,0,0
2775,M00806,M,295.0,304.7,1670,34.9,128,0,0,0,0,0,0
2776,L01398,L,303.4,314.7,1643,45.3,53,0,0,0,0,0,0
2777,M00807,M,299.4,309.3,1944,51.8,4,0,0,0,0,0,0
2778,M00808,M,298.4,307.9,1396,37.2,55,0,0,0,0,0,0
2779,L01399,L,297.8,307.3,1555,33.5,215,0,0,0,0,0,0
2780,L01400,L,299.3,309.0,1543,49.4,242,0,0,0,0,0,0
2781,L01401,L,298.9,307.8,1533,45.0,142,0,0,0,0,0,0
2782,L01402,L,298.5,308.1,1247,39.4,209,0,0,0,0,0,0
2783,M00809,M,298.6,308.8,1263,46.1,11,0,0,0,0,0,0
2784,L01403,L,301.1,311.5,1501,49.6,215,0,0,0,0,0,0
2785,L01404,L,304.0,315.2,1184,39.5,72,0,0,0,0,0,0
2786,M00810,M,301.6,311.9,1433,43.1,44,0,0,0,0,0,0
2787,M00811,M,302.2,311.8,1370,45.2,70,0,0,0,0,0,0
2788,M00812,M,299.2,308.2,1440,35.4,125,0,0,0,0,0,0
2789,H00573,H,300.2,310.5,1726,51.9,148,0,0,0,0,0,0
2790,L01405,L,300.9,310.7,1284,29.7,1,0,0,0,0,0,0
2791,H00574,H,298.7,308.6,1673,38.7,86,0,0,0,0,0,0
2792,L01406,L,299.1,309.4,1385,47.7,178,0,0,0,0,0,0
2793,M00813,M,301.7,312.2,1410,29.4,189,0,0,0,0,0,0
2794,H00575,H,302.2,312.5,1593,48.7,59,0,0,0,0,0,0
2795,H00576,H,300.1,310.0,1445,41.9,62,0,0,0,0,0,0
2796,M00814,M,297.6,306.8,1321,53.3,171,0,0,0,0,0,0
2797,M00815,M,299.4,308.8,1425,46.1,154,0,0,0,0,0,0
2798,L01407,L,297.1,308.0,1168,38.4,125,0,0,0,0,0,0
2799,M00816,M,300.2,309.7,1576,42.3,138,0,0,0,0,0,0
2800,M00817,M,300.5,309.2,1168,42.7,126,0,0,0,0,0,0
2801,H00577,H,299.5,310.6,1677,60.2,103,0,0,0,0,0,0
2802,L01408,L,300.5,309.5,1623,40.8,199,0,0,0,0,0,0
2803,L01409,L,300.8,310.9,1820,38.6,224,0,0,0,0,0,0
2804,M00818,M,300.5,311.0,1936,38.0,161,0,0,0,0,0,0
2805,L01410,L,297.6,307.6,1687,41.9,68,0,0,0,0,0,0
2806,L01411,L,299.5,307.5,1374,28.7,246,0,0,0,0,0,0
2807,L01412,L,300.8,311.2,1934,36.2,22,0,0,0,0,0,0
2808,M00819,M,303.2,314.5,1261,29.9,240,0,0,0,0,0,0
2809,L01413,L,299.5,310.2,1168,31.2,140,0,0,0,0,0,0
2810,L01414,L,301.1,309.1,1870,48.0,179,0,0,0,0,0,0
2811,L01415,L,301.8,313.8,1620,40.3,107,0,0,0,0,0,0
2812,H00578,H,299.6,308.3,1168,32.6,90,0,0,0,0,0,0
2813,M00820,M,302.3,311.2,1228,38.5,56,0,0,0,0,0,0
2814,L01416,L,302.4,313.2,1610,37.5,28,0,0,0,0,0,0
2815,L01417,L,302.8,313.2,1326,40.5,79,0,0,0,0,0,0
2816,M00821,M,300.9,311.0,1354,24.9,64,0,0,0,0,0,0
2817,L01418,L,304.0,313.4,1893,29.1,135,0,0,0,0,0,0
2818,M00822,M,298.8,310.1,1929,25.6,216,0,0,0,0,0,0
2819,L01419,L,304.0,314.0,1529,31.0,21,0,0,0,0,0,0
2820,H00579,H,301.5,310.0,1469,32.8,188,0,0,0,0,0,0
2821,L01420,L,302.7,313.9,1680,29.7,67,0,0,0,0,0,0
2822,M00823,M,299.4,309.6,1387,47.6,162,0,0,0,0,0,0
2823,L01421,L,301.7,312.8,1168,58.4,158,0,0,0,0,0,0
2824,H00580,H,302.9,313.4,1168,48.3,186,0,0,0,0,0,0
2825,H00581,H,297.8,309.8,1485,34.3,3,0,0,0,0,0,0
2826,M00824,M,299.7,309.4,1676,42.1,0,0,0,0,0,0,0
2827,L01422,L,295.7,305.7,1503,39.3,42,0,0,0,0,0,0
2828,L01423,L,299.6,310.4,1661,33.9,248,0,0,0,0,0,0
2829,H00582,H,298.4,308.1,1681,53.2,86,0,0,0,0,0,0
2830,M00825,M,299.6,310.4,1777,60.1,158,0,0,0,0,0,0
2831,L01424,L,304.0,312.0,1537,25.3,77,0,0,0,0,0,0
2832,L01425,L,303.4,313.4,1555,54.4,123,0,0,0,0,0,0
2833,L01426,L,297.1,307.0,1492,34.1,110,0,0,0,0,0,0
2834,H00583,H,301.1,311.0,1448,37.4,47,0,0,0,0,0,0
2835,M00826,M,301.6,310.7,1185,42.8,90,0,0,0,0,0,0
2836,M00827,M,299.3,310.2,1734,55.5,48,0,0,0,0,0,0
2837,M00828,M,300.4,309.9,1423,42.8,70,0,0,0,0,0,0
2838,L01427,L,300.6,310.8,1411,44.1,105,0,0,0,0,0,0
2839,L01428,L,297.3,307.3,1391,48.5,201,0,0,0,0,0,0
2840,L01429,L,297.9,308.4,1231,50.1,49,0,0,0,0,0,0
2841,M00829,M,300.3,311.8,1482,45.1,49,0,0,0,0,0,0
2842,L01430,L,300.2,310.4,1603,50.2,62,0,0,0,0,0,0
2843,L01431,L,298.6,309.4,1358,34.0,199,0,0,0,0,0,0
2844,L01432,L,298.4,308.6,1707,22.7,62,0,0,0,0,0,0
2845,L01433,L,299.8,309.3,1426,58.2,207,0,0,0,0,0,0
2846,M00830,M,301.8,311.6,1193,29.6,81,0,0,0,0,0,0
2847,L01434,L,299.8,309.6,1774,34.7,76,0,0,0,0,0,0
2848,L01435,L,303.2,313.8,1539,36.7,95,0,0,0,0,0,0
2849,M00831,M,298.6,308.7,1672,35.0,113,0,0,0,0,0,0
2850,L01436,L,300.4,309.6,1677,32.7,106,0,0,0,0,0,0
2851,L01437,L,299.3,309.1,1310,44.6,99,0,0,0,0,0,0
2852,L01438,L,301.2,309.7,1395,44.7,252,1,0,0,0,1,0
2853,H00584,H,298.4,308.3,1706,46.2,175,0,0,0,0,0,0
2854,L01439,L,303.9,313.9,1867,45.6,223,0,0,0,0,0,0
2855,M00832,M,296.6,308.4,1512,35.8,226,0,0,0,0,0,0
2856,H00585,H,303.4,314.8,1374,35.8,108,0,0,0,0,0,0
2857,M00833,M,300.2,309.1,1836,51.2,196,0,0,0,0,0,0
2858,L01440,L,301.1,311.3,1374,34.8,119,0,0,0,0,0,0
2859,M00834,M,302.7,312.9,1565,34.6,150,0,0,0,0,0,0
